"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","IP","W","ERA","WHIP","K","SVH","GP"
"*03qju*","Garrett Cleavinger","TB","RP","176","FA","","69.91","44%","0%","57","3","3.63","1.158","73","22","66"
"*04cd5*","MacKenzie Gore","TEX","SP","177","FA","","69.88","99%","0%","170","10","3.97","1.288","204","0","31"
"*01vxp*","Brooks Raley","NYM","RP","178","FA","","69.82","12%","-1%","44","3","2.86","1.068","45","16","56"
"*041am*","Lucas Erceg","KC","RP","179","FA","","69.74","44%","-2%","59","3","3.36","1.186","57","24","61"
"*03dfa*","Tanner Scott","LAD","RP","183","FA","","69.52","60%","-4%","61","4","3.25","1.098","74","10","61"
"*041rf*","Shane Bieber","TOR","SP","185","FA","","69.4","90%","-2%","122","8","3.76","1.115","118","0","20"
"*04c0o*","Jose Soriano","LAA","SP","188","FA","","69.2","85%","0%","162","11","3.72","1.302","147","0","30"
"*02c5l*","Luke Weaver","NYM","RP","191","FA","","68.65","55%","-3%","67","3","3.76","1.179","76","24","59"
"*05gx5*","Jose Corniell","TEX","SP,RP","193","FA","","68.46","24%","-3%","60","4","3.00","1.083","55","10","37"
"*02c2r*","Carlos Rodon","NYY","SP","195","FA","@SF Wed 8:05PM","68.29","96%","0%","138","9","3.91","1.196","144","0","24"
"*02bq7*","Robert Stephenson","LAA","RP","196","FA","","68.26","24%","-4%","45","2","3.60","1.044","61","19","51"
"*02c47*","Shawn Armstrong","CLE","RP","197","FA","","68.16","23%","-2%","74","4","3.28","1.162","69","13","67"
"*04mjn*","Eduard Bazardo","SEA","RP","198","FA","","68.12","18%","-1%","73","4","3.58","1.164","74","16","67"
"*025j1*","Robbie Ray","SF","SP","207","FA","NYY Wed 8:05PM","67.44","98%","0%","162","9","4.00","1.253","168","0","30"
"*05u6q*","Cam Schlittler","NYY","SP","209","FA","@SF Wed 8:05PM","67.43","99%","0%","127","9","3.69","1.276","137","0","24"
"*02z0e*","Yimi Garcia","TOR","RP","210","FA","","67.39","19%","-2%","35","2","3.60","1.171","43","28","39"
"*03d6w*","Jack Flaherty","DET","SP","211","FA","","67.32","97%","0%","153","10","4.12","1.261","174","0","28"
"*03ql5*","Ryan Helsley","BAL","RP","212","FA","","67.25","96%","+1%","57","3","3.79","1.228","69","28","56"
"*03sef*","Seth Lugo","KC","SP","213","FA","","67.16","81%","-2%","174","10","3.93","1.253","145","0","30"
"*03pov*","Brady Singer","CIN","SP","214","FA","","67.12","90%","-1%","177","11","4.07","1.277","162","0","32"
"*03dpg*","Kevin Ginkel","ARI","RP","215","FA","","67.02","35%","+5%","67","3","3.76","1.313","78","34","66"
"*04ak5*","Trevor Rogers","BAL","SP","216","FA","","67.01","99%","0%","154","10","3.80","1.266","132","0","26"
"*041e3*","Braxton Garrett","MIA","SP","217","FA","","66.96","60%","-2%","123","8","3.80","1.179","122","0","24"
"*04q08*","Kyle Leahy","STL","RP","218","FA","","66.96","30%","-2%","82","4","3.62","1.220","68","20","61"
"*02bx4*","Clay Holmes","NYM","SP","220","FA","","66.93","86%","-1%","159","11","3.74","1.308","135","0","30"
"*05ym7*","Fernando Cruz","NYY","RP","222","FA","@SF Wed 8:05PM","66.74","34%","-2%","56","3","3.86","1.196","86","23","56"
"*0423e*","Anthony Bender","MIA","RP","223","FA","","66.71","17%","-1%","50","3","3.42","1.220","44","25","55"
"*04puc*","Bennett Sousa","HOU","RP","228","FA","","66.17","14%","-1%","58","3","3.41","1.069","63","10","47"
"*03d7h*","Mitch Keller","PIT","SP","229","FA","","65.96","90%","-1%","183","10","4.03","1.290","165","0","32"
"*03btv*","Sandy Alcantara","MIA","SP","232","FA","","65.79","99%","0%","179","11","4.12","1.268","153","0","31"
"*03qxr*","Cole Sands","MIN","RP","233","FA","","65.74","19%","-2%","69","3","3.65","1.174","65","18","65"
"*02i3o*","Aaron Nola","PHI","SP","236","FA","","65.45","97%","0%","154","9","4.21","1.208","161","0","26"
"*061yu*","Jacob Misiorowski","MIL","SP","237","FA","","65.28","99%","0%","145","9","3.97","1.297","169","0","28"
"*03as0*","Joe Jimenez","ATL","RP","238","FA","","64.95","10%","-1%","49","4","2.94","1.061","65","0","47"
"*02n0v*","Hoby Milner","CHC","RP","243","FA","","64.41","8%","0%","70","4","3.60","1.186","60","15","70"
"*03duu*","Ryan Thompson","ARI","RP","244","FA","","64.36","12%","-1%","55","3","3.60","1.236","44","25","58"
