,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Inflation Rate: 1.00 for Hitters / 1.00 for Pitchers,,,,,,,,,,,,Set your view options below:,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bidding Team,,,,,,,,,,,,,,,Sort by Original Projected Auction Value,,,,,,,,,,,
,Player Auctioned,,,,,,,,,,,,,,,Show All Positions,,,,,,,,,,,
,Winning Bid $,,,,,,,,,,,,,,,Show Drafted Players,,,,,,,,,,,
,,(0 total players drafted),,,,,,,,,,,,,,Show Stats,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Name,,,,,,Proj $ Value,Inflated Proj $,Site $ Value,Inflated Site $,,,,W,Sv + Hld,K,ERA,WHIP,,,,,,,
Drafted By,Cost,,(Clicking on an undrafted player moves them to the box above),Note,Age,Tm,Main Pos,Other Elig Pos,,,,,Exp Rank,Total WERTH,Pos Adj WERTH,OBP,HR,2B + 3B,R + RBI - HR,SB,,,,,,,
,,,Raisel Iglesias,,36,ATL,RP,,$1,$1,$3,$3,144,-3.1,0.3,4,30,69,3.51,1.12,,,,,,,
,,,Kyle Bradish,,29,BAL,SP,,$1,$1,$5,$5,71,-1.6,0.3,9,0,132,3.58,1.17,,,,,,,
,,,Willson Contreras,,33,BOS,1B,,$1,$1,$4,$4,163,-4.0,0.3,.322,21,25,106,4,,,,,,,
,,,Joe Musgrove,Inj,33,SD,SP,,$1,$1,$3,$3,222,-1.7,0.2,8,0,127,3.86,1.12,,,,,,,
,,,Trevor Megill,,32,MIL,RP,,$1,$1,$2,$2,177,-3.2,0.2,4,23,75,3.40,1.13,,,,,,,
,,,Jeff McNeil,,33,ATH,2B,OF,$1,$1,,,286,-3.7,0.2,.347,12,29,100,4,,,,,,,
,,,Matthew Boyd,,35,CHC,SP,,$0,$0,$3,$3,187,-1.8,0.1,10,0,140,3.89,1.19,,,,,,,
,,,Jordan Beck,,24,COL,OF,,$0,$0,$2,$2,229,-2.5,0.1,.319,16,29,106,16,,,,,,,
,,,Edwin Uceta,Inj,28,TB,RP,,$0,$0,$1,$1,290,-3.3,0.1,4,28,89,3.77,1.17,,,,,,,
,,,Jeff Hoffman,,33,TOR,RP,,$0,$0,$3,$3,154,-3.4,0.0,4,28,75,3.51,1.16,,,,,,,
,,,Yainer Diaz,,27,HOU,C,,$0,$0,$1,$1,158,-4.7,0.0,.309,20,25,109,1,,,,,,,
,,,Jackson Holliday,Inj,22,BAL,2B,,$0,$0,$1,$1,192,-3.4,0.0,.336,15,24,111,14,,,,,,,
,,,Spencer Horwitz,,28,PIT,1B,,$0,$0,,,326,-4.3,0.0,.355,12,27,98,2,,,,,,,
,,,A.J. Minter,Inj,32,NYM,RP,,$0,$0,,,519,-3.4,0.0,5,20,64,3.33,1.12,,,,,,,
,,,Jurickson Profar,,33,ATL,OF,,$0,$0,$5,$5,157,-2.6,0.0,.343,17,26,113,8,,,,,,,
,,,Spencer Schwellenbach,Inj,25,ATL,SP,,$0,$0,$2,$2,305,-1.9,0.0,7,0,103,3.37,1.10,,,,,,,
,,,Jacob Wilson,,23,ATH,SS,,$0,$0,$6,$6,143,-3.0,0.0,.340,12,29,114,6,,,,,,,
,,,Shota Imanaga,,32,CHC,SP,,$0,$0,$3,$3,151,-1.9,0.0,10,0,137,4.07,1.15,,,,,,,
,,,Alex Vesia,,29,LAD,RP,,$0,$0,$1,$1,497,-3.4,0.0,4,24,81,3.53,1.15,,,,,,,
,,,Spencer Strider,,27,ATL,SP,,$0,$0,$5,$5,98,-1.9,0.0,9,0,170,3.94,1.20,,,,,,,
,,,Matt Strahm,,34,KC,RP,,$0,$0,$1,$1,474,-3.4,0.0,4,20,71,3.42,1.11,,,,,,,
