"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","AB","H","2B+3B","HR","SB","OBP","RP","GP"
"*04pks*","Matt McLain","CIN","2B","240","FA","","64.65","96%","0%","514","122","24","17","17",".316","123","142"
"*041ah*","Josh Lowe","LAA","OF","241","FA","","64.64","72%","-3%","485","112","27","17","23",".292","102","132"
"*0596e*","Dylan Crews","WSH","OF","242","FA","","64.45","97%","-1%","473","112","22","14","31",".311","98","125"
"*04tjl*","Otto Lopez","MIA","2B,SS","248","FA","","64.05","86%","-1%","552","145","26","12","16",".315","126","147"
"*045gu*","TJ Friedl","CIN","OF","251","FA","","63.88","87%","-1%","577","142","24","15","11",".343","130","148"
"*0524l*","Yainer Diaz","HOU","C","252","FA","","63.54","94%","-1%","555","155","29","20","1",".308","120","143"
"*05rb1*","Sal Frelick","MIL","OF","255","FA","","63.39","94%","-1%","530","142","25","8","20",".338","125","141"
"*05y4b*","Caleb Durbin","BOS","3B","258","FA","","63.29","92%","0%","465","118","27","11","21",".342","108","133"
"*05jr0*","Alec Burleson","STL","1B,OF","267","FA","","62.76","95%","0%","532","148","26","20","7",".332","118","135"
"*04ru7*","Miguel Vargas","CHW","1B,3B","268","FA","","62.69","82%","-1%","506","116","34","15","6",".324","123","141"
"*0622t*","Jacob Wilson","ATH","SS","273","FA","","62.57","99%","0%","537","163","35","10","5",".351","125","139"
"*05r1m*","Jordan Lawlar","ARI","3B,SS","276","FA","","62.3","86%","-1%","423","103","34","9","22",".339","88","132"
"*0310z*","J.P. Crawford","SEA","SS","277","FA","","62.24","66%","-2%","555","139","26","13","8",".347","127","153"
"*03mew*","Luis Arraez","SF","1B,2B","278","FA","NYY Wed 8:05PM","62.24","91%","-1%","632","190","34","6","7",".335","122","154"
"*04qii*","Addison Barger","TOR","3B,OF","280","FA","","62.06","97%","0%","475","118","32","19","5",".329","118","128"
"*04y97*","Kyle Stowers","MIA","OF","281","FA","","62.04","99%","0%","468","119","27","25","4",".339","120","128"
"*05gwy*","Masyn Winn","STL","SS","285","FA","","61.24","83%","-3%","549","139","28","13","10",".312","120","145"
