,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Inflation Rate: 1.00 for Hitters / 1.00 for Pitchers,,,,,,,,,,,,Set your view options below:,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bidding Team,,,,,,,,,,,,,,,Sort by Original Projected Auction Value,,,,,,,,,,,
,Player Auctioned,,,,,,,,,,,,,,,Show All Positions,,,,,,,,,,,
,Winning Bid $,,,,,,,,,,,,,,,Show Drafted Players,,,,,,,,,,,
,,(0 total players drafted),,,,,,,,,,,,,,Show Stats,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Name,,,,,,Proj $ Value,Inflated Proj $,Site $ Value,Inflated Site $,,,,W,Sv + Hld,K,ERA,WHIP,,,,,,,
Drafted By,Cost,,(Clicking on an undrafted player moves them to the box above),Note,Age,Tm,Main Pos,Other Elig Pos,,,,,Exp Rank,Total WERTH,Pos Adj WERTH,OBP,HR,2B + 3B,R + RBI - HR,SB,,,,,,,
,,,Grant Taylor,,23,CHW,RP,,$5,$5,$2,$2,329,-0.2,2.5,4,23,95,3.22,1.12,,,,,,,
,,,David Bednar,,31,NYY,RP,,$5,$5,$5,$5,101,-0.2,2.5,4,33,80,3.22,1.11,,,,,,,
,,,Drew Rasmussen,,30,TB,SP,,$5,$5,$5,$5,146,0.4,2.5,9,0,131,3.67,1.17,,,,,,,
,,,Carlos Rodón,Inj,33,NYY,SP,,$5,$5,$3,$3,170,0.3,2.4,10,0,157,3.89,1.18,,,,,,,
,,,Aroldis Chapman,,37,BOS,RP,,$5,$5,$6,$6,102,-0.3,2.4,4,35,79,2.99,1.13,,,,,,,
,,,MacKenzie Gore,,27,TEX,SP,,$5,$5,$4,$4,147,0.3,2.4,10,0,183,3.82,1.22,,,,,,,
,,,Marcus Semien,,35,NYM,2B,,$5,$5,$3,$3,182,-1.8,1.7,.318,19,26,126,9,,,,,,,
,,,Emmet Sheehan,,26,LAD,SP,,$5,$5,$5,$5,132,0.2,2.3,10,0,133,3.74,1.15,,,,,,,
,,,Aaron Nola,,32,PHI,SP,,$5,$5,$3,$3,185,0.2,2.3,10,0,165,4.05,1.17,,,,,,,
,,,Dansby Swanson,,32,CHC,SS,,$5,$5,$5,$5,149,-1.7,1.7,.313,19,26,122,15,,,,,,,
