"BP ID","Name","Position(s)","Team","$$$","%","PA","AB","HR","SB","OBP","Runs Prod.","2B + 3B","IP","W","SO","ERA","WHIP","SV+HLD"
"109236","Michel Otañez","[""rp"",""p""]","TEX","-21.4","50","0","0","0","0","0","0","0","23","1","28","4.64","1.42","3"
"130453","Chris Murphy","[""rp"",""p""]","CHW","-21.42","50","0","0","0","0","0","0","0","25","1","25","4.63","1.41","3"
"109203","Kyle Hart","[""sp"",""rp"",""p""]","SD","-21.47","50","0","0","0","0","0","0","0","51","3","41","4.42","1.3","4"
"148274","Philip Abner","[""rp"",""p""]","AZ","-21.49","50","0","0","0","0","0","0","0","16.7","1","15","4.04","1.24","3"
"122780","Hunter Barco","[""p""]","PIT","-21.53","50","0","0","0","0","0","0","0","51","3","51","4.28","1.33","1"
"149535","Brad Lord","[""sp"",""rp"",""p""]","WAS","-21.55","50","0","0","0","0","0","0","0","81","3","67","4.8","1.39","2"
"108560","Jesse Scholtens","[""p""]","TB","-21.56","50","0","0","0","0","0","0","0","48.7","3","42","4.31","1.26","2"
"146226","Bailey Horn","[""rp"",""p""]","DET","-21.57","50","0","0","0","0","0","0","0","21.3","1","19","4.28","1.33","3"
"142242","Kyle Backhus","[""rp"",""p""]","PHI","-21.57","50","0","0","0","0","0","0","0","17","1","16","4.26","1.3","3"
"70762","Robert Stephenson","[""rp"",""p""]","LAA","-21.66","50","0","0","0","0","0","0","0","12","1","14","3.55","1.14","2"
"153109","Justin Crawford","[""u""]","PHI","-21.68","50","378","352","5","15","0.301","70","19","0","0","0","0","0","0"
"111094","Prelander Berroa","[""rp"",""p""]","CHW","-21.68","50","0","0","0","0","0","0","0","25","1","26","4.72","1.43","3"
"105936","Bailey Falter","[""sp"",""p""]","KC","-21.69","50","0","0","0","0","0","0","0","61.3","3","46","4.6","1.35","5"
"118215","Jonny DeLuca","[""u""]","TB","-21.71","50","371","340","11","14","0.29","69","17","0","0","0","0","0","0"
"141132","Keaton Winn","[""rp"",""p""]","SF","-21.71","50","0","0","0","0","0","0","0","24","1","21","4.75","1.37","3"
"163793","AJ Blubaugh","[""rp"",""p""]","HOU","-21.72","50","0","0","0","0","0","0","0","26.3","1","24","4.56","1.36","1"
"144213","Drey Jameson","[""p""]","AZ","-21.83","50","0","0","0","0","0","0","0","50.3","3","48","4.67","1.38","6"
"111294","Griffin Canning","[""sp"",""p""]","SD","-21.85","50","0","0","0","0","0","0","0","62","3","55","4.48","1.34","0"
"151459","Andrew Alvarez","[""sp"",""p""]","WAS","-21.87","50","0","0","0","0","0","0","0","60.3","3","53","4.55","1.38","4"
"108978","Luis Medina","[""sp"",""p""]","SAC","-21.87","50","0","0","0","0","0","0","0","78","4","67","5.01","1.45","4"
"151243","Andre Granillo","[""rp"",""p""]","WAS","-21.96","50","0","0","0","0","0","0","0","12.3","1","13","3.72","1.21","2"
"107962","Jordan Hicks","[""sp"",""rp"",""p""]","CHW","-21.97","50","0","0","0","0","0","0","0","43.7","2","40","4.81","1.43","16"
"110903","Hunter Stratton","[""rp"",""p""]","ATL","-21.98","50","0","0","0","0","0","0","0","16.3","1","14","4.08","1.25","2"
"112968","Joey Bart","[""c"",""u""]","PIT","-22.07","50","335","297","8","1","0.308","61","15","0","0","0","0","0","0"
"108437","Luke Raley","[""1b"",""ci"",""of"",""u""]","SEA","-22.1","50","374","328","13","5","0.305","70","16","0","0","0","0","0","0"
"160224","Hurston Waldrep","[""sp"",""p""]","ATL","-22.2","50","0","0","0","0","0","0","0","71","4","66","4.63","1.43","0"
"130685","Jack Neely","[""rp"",""p""]","CHC","-22.28","50","0","0","0","0","0","0","0","11","1","14","4.29","1.3","2"
"127605","Alek Manoah","[""sp"",""p""]","LAA","-22.32","50","0","0","0","0","0","0","0","77.7","3","74","5.17","1.41","0"
"151257","Chase Lee","[""rp"",""p""]","TOR","-22.33","50","0","0","0","0","0","0","0","11","1","10","3.97","1.24","2"
"107428","Javier Assad","[""sp"",""p""]","CHC","-22.43","50","0","0","0","0","0","0","0","56.3","3","42","4.53","1.36","5"
"128445","James McArthur","[""rp"",""p""]","KC","-22.45","50","0","0","0","0","0","0","0","16.7","1","16","4.45","1.32","2"
"100957","Nabil Crismatt","[""sp"",""p""]","","-22.47","50","0","0","0","0","0","0","0","39","5","26","4.96","1.34","3"
"70432","John Brebbia","[""rp"",""p""]","COL","-22.48","50","0","0","0","0","0","0","0","12.7","1","11","4.32","1.24","2"
"147927","Yosver Zulueta","[""rp"",""p""]","SEA","-22.48","50","0","0","0","0","0","0","0","16.3","1","18","4.47","1.4","2"
"146279","Alek Jacob","[""rp"",""p""]","SD","-22.53","50","0","0","0","0","0","0","0","18","1","18","4.72","1.34","2"
"109355","Gabriel Arias","[""ss"",""2b"",""mi"",""u""]","CLE","-22.55","50","434","404","13","7","0.267","74","21","0","0","0","0","0","0"
"141891","Angel Chivilli","[""rp"",""p""]","NYY","-22.58","50","0","0","0","0","0","0","0","22","1","21","5.12","1.44","3"
"142702","Yariel Rodríguez","[""rp"",""p""]","TOR","-22.6","50","0","0","0","0","0","0","0","11","1","11","4.17","1.3","2"
"144662","Blake Walston","[""rp"",""p""]","AZ","-22.63","50","0","0","0","0","0","0","0","26","1","24","5.01","1.42","1"
"100273","Germán Márquez","[""sp"",""p""]","SD","-22.65","50","0","0","0","0","0","0","0","93","5","66","5.48","1.45","0"
"123838","Gunnar Hoglund","[""sp"",""p""]","SAC","-22.68","50","0","0","0","0","0","0","0","62","3","47","4.75","1.32","0"
"123911","Grant Holman","[""rp"",""p""]","AZ","-22.71","50","0","0","0","0","0","0","0","11","1","10","4.27","1.32","2"
"148618","Carter Baumler","[""p""]","TEX","-22.73","50","0","0","0","0","0","0","0","46","3","42","4.55","1.4","6"
"147607","Andrew Walters","[""p""]","CLE","-22.76","50","0","0","0","0","0","0","0","30.3","2","38","3.82","1.23","5"
"128054","Justin Martinez","[""rp"",""p""]","AZ","-22.77","50","0","0","0","0","0","0","0","16.7","1","20","4.49","1.45","2"
"134629","Kumar Rocker","[""sp"",""p""]","TEX","-22.8","50","0","0","0","0","0","0","0","46.3","3","45","4.3","1.31","0"
"147783","Hunter Dobbins","[""sp"",""p""]","STL","-22.83","50","0","0","0","0","0","0","0","62","3","51","4.57","1.36","0"
"144540","Dalton Rushing","[""c"",""u""]","LAD","-22.83","50","293","261","11","1","0.302","60","13","0","0","0","0","0","0"
"161602","Chase Dollander","[""sp"",""p""]","COL","-22.86","50","0","0","0","0","0","0","0","91.3","3","86","5.14","1.46","0"
"160614","Ryan Johnson","[""rp"",""p""]","LAA","-22.91","50","0","0","0","0","0","0","0","12","1","11","4.44","1.32","2"
"145702","Michael Darrell-Hicks","[""rp"",""p""]","PIT","-22.91","50","0","0","0","0","0","0","0","12","1","11","4.7","1.36","2"
"110000","Carlos Hernández","[""rp"",""p""]","CLE","-22.91","50","0","0","0","0","0","0","0","12","1","11","4.38","1.31","2"
"107263","Brandon Waddell","[""rp"",""p""]","NYM","-22.94","50","0","0","0","0","0","0","0","11.7","1","9","4.45","1.28","2"
"111247","Zach Pop","[""rp"",""p""]","PHI","-23.03","50","0","0","0","0","0","0","0","17","1","14","4.87","1.41","2"
"123905","Gavin Hollowell","[""rp"",""p""]","CHC","-23.05","50","0","0","0","0","0","0","0","11","1","12","4.62","1.35","2"
"113344","Valente Bellozo","[""sp"",""rp"",""p""]","","-23.06","50","0","0","0","0","0","0","0","32.3","4","24","4.52","1.28","2"
"135847","Cam Sanders","[""rp"",""p""]","PIT","-23.08","50","0","0","0","0","0","0","0","12","1","13","4.73","1.42","2"
"109313","Jason Alexander","[""sp"",""rp"",""p""]","HOU","-23.11","50","0","0","0","0","0","0","0","54.7","3","47","4.88","1.38","3"
"111164","Alex Lange","[""p""]","KC","-23.12","50","0","0","0","0","0","0","0","44.7","2","51","4.4","1.38","6"
"124395","Kyle Isbel","[""of"",""u""]","KC","-23.21","50","375","350","9","7","0.298","69","20","0","0","0","0","0","0"
"148650","Gavin Stone","[""sp"",""p""]","LAD","-23.21","50","0","0","0","0","0","0","0","41.7","3","37","4.3","1.29","1"
"70359","Derek Law","[""rp"",""p""]","AZ","-23.22","50","0","0","0","0","0","0","0","16.7","1","14","4.74","1.38","2"
"146920","Peyton Pallette","[""p""]","CLE","-23.23","50","0","0","0","0","0","0","0","42.7","2","44","4.64","1.34","6"
