"BP ID","Name","Position(s)","Team","$$$","%","PA","AB","HR","SB","OBP","Runs Prod.","2B + 3B","IP","W","SO","ERA","WHIP","SV+HLD"
"151426","Bubba Chandler","[""p""]","PIT","0.15","50","0","0","0","0","0","0","0","129.3","8","129","4.02","1.28","0"
"102644","Zack Littell","[""sp"",""p""]","WAS","0.14","50","0","0","0","0","0","0","0","142.3","7","103","4.3","1.22","0"
"59145","Marcell Ozuna","[""u""]","PIT","0.11","50","531","461","22","0","0.338","113","24","0","0","0","0","0","0"
"142386","Hunter Gaddis","[""rp"",""p""]","CLE","0.09","50","0","0","0","0","0","0","0","54.7","3","54","3.7","1.17","28"
"131720","Andy Pages","[""of"",""u""]","LAD","0.08","50","538","498","19","9","0.301","111","25","0","0","0","0","0","0"
"138046","Robert Suarez","[""rp"",""p""]","ATL","0.06","50","0","0","0","0","0","0","0","54.3","3","51","3.44","1.16","27"
"59507","Brooks Raley","[""rp"",""p""]","NYM","0.02","50","0","0","0","0","0","0","0","52.7","3","49","3.4","1.14","26"
"109125","Adrian Morejon","[""rp"",""p""]","SD","-0.07","50","0","0","0","0","0","0","0","60.3","4","56","3.55","1.22","24"
"104002","Sandy Alcantara","[""sp"",""p""]","MIA","-0.08","50","0","0","0","0","0","0","0","163","9","132","4.39","1.32","0"
"109738","Yainer Diaz","[""c"",""u""]","HOU","-0.1","50","486","465","17","0","0.307","105","25","0","0","0","0","0","0"
"111216","Alejandro Kirk","[""c"",""u""]","TOR","-0.12","50","518","464","14","0","0.342","107","20","0","0","0","0","0","0"
"144894","Bryan King","[""rp"",""p""]","HOU","-0.16","50","0","0","0","0","0","0","0","59","4","54","3.82","1.21","23"
"107559","Edward Cabrera","[""sp"",""p""]","CHC","-0.17","50","0","0","0","0","0","0","0","120","8","122","4.01","1.27","0"
"137001","Brady Singer","[""sp"",""p""]","CIN","-0.26","50","0","0","0","0","0","0","0","145.7","8","137","4.46","1.3","0"
"107168","Dansby Swanson","[""ss"",""mi"",""u""]","CHC","-0.28","50","591","535","19","14","0.296","111","25","0","0","0","0","0","0"
"106140","Jimmy Herget","[""rp"",""p""]","COL","-0.32","50","0","0","0","0","0","0","0","63.7","3","59","3.96","1.19","23"
"125512","Yusei Kikuchi","[""sp"",""p""]","LAA","-0.34","50","0","0","0","0","0","0","0","169","8","155","4.46","1.33","0"
"110017","Iván Herrera","[""u""]","STL","-0.35","50","572","504","15","9","0.336","107","24","0","0","0","0","0","0"
"107441","Bryan Baker","[""rp"",""p""]","TB","-0.35","50","0","0","0","0","0","0","0","55","3","58","3.65","1.16","22"
"124341","Jonathan India","[""2b"",""3b"",""mi"",""ci"",""of"",""u""]","KC","-0.36","50","557","485","14","6","0.334","110","26","0","0","0","0","0","0"
"128870","Parker Meadows","[""of"",""u""]","DET","-0.39","50","517","473","14","15","0.302","92","29","0","0","0","0","0","0"
"122776","Casey Mize","[""sp"",""p""]","DET","-0.39","50","0","0","0","0","0","0","0","139.7","8","118","4.3","1.28","0"
"156680","Jacob Misiorowski","[""sp"",""p""]","MIL","-0.41","50","0","0","0","0","0","0","0","124.3","7","137","3.94","1.29","0"
"140930","Gavin Williams","[""sp"",""p""]","CLE","-0.44","50","0","0","0","0","0","0","0","154.3","8","163","4.32","1.35","0"
"149873","Daniel Palencia","[""rp"",""p""]","CHC","-0.49","50","0","0","0","0","0","0","0","50.3","3","55","4.13","1.29","36"
"148324","Grant Taylor","[""rp"",""p""]","CHW","-0.54","50","0","0","0","0","0","0","0","56.3","3","63","3.54","1.25","27"
"113331","Brayan Bello","[""sp"",""p""]","BOS","-0.59","50","0","0","0","0","0","0","0","154","9","128","4.28","1.32","0"
"100518","Zach Eflin","[""sp"",""p""]","BAL","-0.63","50","0","0","0","0","0","0","0","131","8","101","4.38","1.24","0"
"163779","Chase Meidroth","[""ss"",""2b"",""mi"",""u""]","CHW","-0.66","50","582","515","10","9","0.346","110","24","0","0","0","0","0","0"
"163859","Zebby Matthews","[""sp"",""p""]","MIN","-0.71","50","0","0","0","0","0","0","0","111.3","6","108","3.95","1.22","2"
"137926","Kyle Stowers","[""of"",""u""]","MIA","-0.73","50","569","512","21","3","0.3","108","27","0","0","0","0","0","0"
"110107","Janson Junk","[""sp"",""rp"",""p""]","MIA","-0.73","50","0","0","0","0","0","0","0","111.3","6","77","3.84","1.18","4"
